end_country,flights,month
GM,263,202002
VE,262,202002
GI,215,202002
NI,184,202002
KG,159,202002
DM,157,202002
MD,134,202002
MR,113,202002
GW,113,202002
AX,112,202002
BW,103,202002
PY,94,202002
MQ,93,202002
XK,91,202002
LY,87,202002
CV,83,202002
ML,57,202002
PS,50,202002
GG,42,202002
TC,36,202002
GN,33,202002
PM,24,202002
SY,23,202002
ME,17,202002
TJ,13,202002
GP,11,202002
SZ,10,202002
FO,8,202002
JO,7,202002
KW,5,202002
MK,5,202002
BN,5,202002
AI,4,202002
AZ,2,202002
MV,1,202002
NC,1,202002
US,1291245,202212
AU,92644,202212
GB,81151,202212
IN,76933,202212
CA,72249,202212
DE,66658,202212
JP,65310,202212
FR,58794,202212
ES,56932,202212
BR,51689,202212
IT,51594,202212
TR,41698,202212
MX,40219,202212
RU,39529,202212
NZ,29953,202212
TH,29283,202212
KR,23209,202212
AE,22321,202212
CN,22033,202212
PH,20480,202212
MY,20389,202212
NO,20370,202212
CO,20242,202212
CH,18953,202212
NL,18217,202212
PT,16090,202212
PL,14507,202212
SE,13151,202212
BE,13079,202212
GR,12098,202212
AR,11815,202212
DK,11803,202212
QA,11287,202212
AT,10714,202212
TW,10588,202212
IE,10508,202212
MA,10420,202212
VN,10301,202212
SA,10283,202212
ZA,9381,202212
ID,8507,202212
FI,7882,202212
HK,7128,202212
RO,6857,202212
PR,6558,202212
IL,6452,202212
KW,6174,202212
DO,5786,202212
BD,5586,202212
PA,5092,202212
BS,4772,202212
CZ,4681,202212
DZ,4391,202212
CY,4352,202212
HU,4310,202212
PE,4235,202212
SG,4198,202212
IR,3319,202212
BH,3192,202212
RS,2921,202212
IS,2797,202212
KZ,2715,202212
LU,2597,202212
PK,2498,202212
GT,2481,202212
BG,2435,202212
LV,2227,202212
HR,2001,202212
PF,1738,202212
LB,1735,202212
LT,1711,202212
MT,1662,202212
OM,1414,202212
MK,1385,202212
BA,1319,202212
BB,1264,202212
AW,1240,202212
GE,1212,202212
EE,1203,202212
SV,1137,202212
EG,1077,202212
EC,1007,202212
LK,961,202212
KP,954,202212
BY,903,202212
IQ,869,202212
JE,745,202212
AL,707,202212
BM,676,202212
SI,646,202212
GG,582,202212
VI,542,202212
IM,478,202212
HN,424,202212
XK,424,202212
MM,421,202212
MD,391,202212
ME,384,202212
GY,361,202212
TG,361,202212
CW,341,202212
HT,336,202212
GH,322,202212
CU,297,202212
LY,296,202212
TT,274,202212
SK,271,202212
VC,266,202212
VE,248,202212
NI,244,202212
UY,240,202212
BJ,225,202212
TC,221,202212
SY,206,202212
GD,194,202212
LC,191,202212
LA,164,202212
GI,157,202212
BN,82,202212
DM,59,202212
LS,57,202212
MQ,56,202212
AX,52,202212
NP,51,202212
NG,42,202212
BT,41,202212
PS,38,202212
SZ,38,202212
BO,24,202212
BQ,18,202212
VG,7,202212
GP,6,202212
JO,5,202212
MN,4,202212
MV,4,202212
TN,4,202212
GL,3,202212
FO,3,202212
CM,1,202212
US,835521,201901
AU,94321,201901
IN,82542,201901
DE,72730,201901
GB,69173,201901
JP,65885,201901
BR,55229,201901
ES,52764,201901
RU,51554,201901
IT,51256,201901
FR,49643,201901
TR,44432,201901
CN,42156,201901
MY,37050,201901
CA,36930,201901
ID,29890,201901
AE,27419,201901
KR,24847,201901
SA,23152,201901
MX,22817,201901
PH,22399,201901
TW,22246,201901
NZ,21100,201901
CH,16959,201901
NL,15698,201901
SE,15682,201901
NO,14336,201901
BE,12440,201901
DK,11958,201901
PT,11865,201901
AR,10462,201901
PL,10362,201901
QA,10333,201901
GR,10078,201901
HK,9933,201901
